Comment	Locale	Service	App	Utterance	Replacement	Command	Arg1	Arg2
	et			naeru ?näo(ga)? ?sümbol	:-)			
	et			rõõmsa ?näo(ga)? ?sümbol	:-)			
	et			väga ?kurva ?näo(ga)? ?sümbol	:'(			
	et			nutu ?näo(ga)? ?sümbol	:-(			
	et			kurva ?näo(ga)? ?sümbol	:-(			
	et			sulud algavad	(			
	et			sulud lõpevad	)			
	et			klambrid algavad	[			
	et			klambrid lõpevad	]			
	et			sidekriips( |$)	-			
	et			mõttekriips( |$)	-			
	et			uus lõik	\n\n			
autopunctuation. We optimize for precision by checking that the inserted comma is preceded by a word character, thus it only works within the utterance. Works incorrectly with <mis sa siis teed> etc.	et			(\w) (aga|et|kuid|sest|siis|vaid)( |$)	$1, $2$3			
relcl pronoun	et			(\w) (mille|kelle)(l|le|lt|s|sse|st|ni|na|ks|ga|ta)( |$)	$1, $2$3$4			
relcl pronoun	et			(\w) (mi|ke)(s|da|lle)( |$)	$1, $2$3$4			
web	et			(\w)\. Ee( |$)	$1.ee			
#number	et			(\w) üks( |$)				
number	et			(\w) kaks( |$)	$1 2$2			
number	et			(\w) kolm( |$)	$1 3$2			
number	et			(\w) neli( |$)	$1 4$2			
number	et			(\w) viis minuti	$1 5 minuti			
number	et			(\w) kuus( |$)	$1 6$2			
number	et			(\w) seitse( |$)	$1 7$2			
number	et			(\w) kaheksa( |$)	$1 8$2			
number	et			(\w) üheksa( |$)	$1 9$2			
number	et			(\w) kümme( |$)	$1 10$2			
command	et			^ärata mind( palun)? (\d+) (minutit hiljem|minuti pärast)$	set alarm for $2 minutes			
command	et			^ärata mind( palun)? kell (.+)$	set alarm $2 o'clock			
command	et			^mängi muusikat (.+)$	play on YouTube $1			
command	et			^tõlgi (.+)$	translate from Estonian $1			
template	et			muster (1|üks)	Tere,\n\n			
template	et			muster (2|kaks)	Nimi: []\n\nIsikukood: []\n\nAadress: []\n\n			
editing	et			mine( dokumendi)? algusesse		goToCharacterPosition	0	
	et			mine( teksti)? algusesse		goToCharacterPosition	0	
	et			mine( dokumendi)? lõpp?u		goToEnd		
	et			mine( teksti)? lõpp?u		goToEnd		
	et			mine positsioonile (\d+)		goToCharacterPosition	$1	
	et			mine (\d+) sammu edasi		goForward	$1	
	et			mine üks sammu? edasi		goForward		
	et			mine (\d+) sammu tagasi		goBackward	$1	
	et			mine üks sammu? tagasi		goBackward		
	et			mine tagasi		goToPreviousField		
	et			mine eelmisele väljale		goToPreviousField		
	et			eelmine väli		goToPreviousField		
	et			mine edasi		goToNextField		
	et			mine järgmisele väljale		goToNextField		
	et			järgmine väli		goToNextField		
	et			vali (.+) ja lisa ?jutumärgid		replace	$2	"$2"
	et			vali (.+) ja lisa ?tärnid		replace	$2	*$2*
	et			vali (.+) ja lisa ?kriipsud		replace	$2	_$2_
	et			vali klambrid		selectReBefore	\\[([^]]*)\\]	
	et			selekteeri.? (.+)		select	$1	
	et			pane( sõna)? (.+) asemele (.+)		replace	$2	$3
	et			asend[^ ]* sõna ?(.+) sõnaga (.+)		replace	$1	$2
	et			asend[^ ]* sõnaga (.+) sõna ?(.+)		replace	$2	$1
	et			ühend[^ ]* sõnad (.+) (ja|ning) (.+) side ?kriipsuga		replace	$1 $3	$1-$3
	et			ühend[^ ]* sõnad (.+) (ja|ning) (.+)		replace	$1 $3	$1$3
	et			erald[^ ]* sõnad (.+) (ja|ning) (.+)		replace	$1$3	$1 $3
	et			asend[^ ]* sõnaga (.+)		replaceSel	$1	
	et			pane asemele? (.+)		replaceSel	$1	
	et			lisa ?jutumärgid		replaceSel	"{}"	
	et			lisa ?tärnid		replaceSel	*{}*	
	et			lisa ?(ala ?)?kriipsud		replaceSel	_{}_	
	et			lisa ?klambrid		replaceSel	[{}]	
	et			lisa ?vasak ?klamber		replaceSel	[{}	
	et			lisa ?parem ?klamber		replaceSel	{}]	
	et			lisa ?sulud		replaceSel	({})	
	et			lisa ?vasak ?sulg		replaceSel	({}	
	et			lisa ?parem ?sulg		replaceSel	{})	
	et			suured tähed		ucSel		
	et			väike?sed tähed		lcSel		
	et			eemalda valik		resetSel		
	et			kopeeri sõna (.+)		copyStr	$1	
	et			kopeeri kõik		copyAll		
	et			vali kõik ja kopeeri		copyAll		
	et			kopeeri		copy		
	et			kopeeri (.+)		copyStr	$1	
	et			vali kõik ja kustuta		deleteAll		
	et			vali kõik ja lõika		cutAll		
	et			vali kõik		selectAll		
	et			vali (.+) kuni (.+)		selectReBefore	$1.*$2	
	et			vali (.).*algus ?täht		select	$1	
	et			vali (.+)		select	$1	
	et			lõika		cut		
	et			kleebi		paste		
	et			(kustuta|eemalda) eelmine sõna		deleteLeftWord		
	et			kustuta (.+)		delete	$1	
	et			kustuta		cut		
	et			lisa ?tühik		replaceSel	 	
	et			lisa ?rea ?vahetus		replaceSel	\n	
	et			võtt?a tagasi		undo		
	et			võtt?a (\d+) korda tagasi		undo	$1	
	et			mine üles		goUp		
	et			mine alla		goDown		
	et			mine vasakule		goLeft		
	et			mine paremale		goRight		
	et			mine eelmine lause		selectReBefore	[.?!]()[^.?!]*[.?!][^.?!]*	
	et			hüppa (.+)		selectReBefore	$1()	
	et			mine		imeActionGo		
	et			otsi		imeActionSearch		
	et	ee.*speak	google.*talk	saada		imeActionSend		
	et	ee.*speak	google.*talk	send off?\.?		imeActionSend		
	en	voicesearch	google.*talk	send off?\.?		imeActionSend		
	et			lõpeta|tehtud		imeActionDone		
	et			klahv alfa		keyCodeStr	A	
	et			klahv suur a		keyCodeStr	A	
	et			klahv väike a		keyCodeStr	A	
	et			klahv number (\d+)		keyCode	$1	
	et			klahv enter		keyCodeStr	ENTER	
	et			klahv (tabulaat|tabulaadur|tabula rasa)		keyCodeStr	TAB	
	et			algus ?täht (.).*		replaceSel	$1	
	et			(.).*algus ?täht		replaceSel	$1	
	et			rakenda (\d+) korda		apply	$1	
