Locale	App	Utterance	Replacement	Command	Arg1	Comment	Tags
	:	mida ütleb rebane|what does the fox say	{ "component": "ee.ioc.phon.android.speak/.activity.SpeechActionActivity", "extras": {     "ee.ioc.phon.android.extra.VOICE_PROMPT": "aoäia õe uue oaõieaia õueaua ööau aoäia õe uue oaõieaia õueaua ööau",     "android.speech.extra.PROMPT": "Rebane ütleb nii...",     "android.speech.extra.LANGUAGE": "en" }}			Example of voice prompt
		([^ ]+ [^ ]+) \1	$1			delete repetition
#en	com\.google\.android\.apps\.fireball	^assist[a-z]+	@google 			Query Google Assistant
#en	com\.google\.android\.apps\.fireball	^(at )?Google	@google 			Query Google Assistant
et		kolm karu	🐻🐻🐻
en		old man dark skin tone	👴🏿			Emoji
et		vana mustanahaline mees	👴🏿			Emoji
#et		\büks\b	1			number; "üks" is ambiguous	number
et		\bkaks\b	2				number
et		\bkolm\b	3				number
et		\bneli\b	4				number
et		\bviis minuti	5 minuti			number; "viis" is ambiguous	number
et		\bkuus\b	6				number
et		\bseitse\b	7				number
et		\bkaheksa\b	8				number
et		\büheksa\b	9				number
et		\bkümme\b	10				number
et		(\d) kolmandikku	$1/3				number
et		(\d) neljandikku	$1/4				number
et		(\d) viiendikku	$1/5				number
et		(\d) kuuendikku	$1/6				number
et		(\d) seitsmendikku	$1/7				number
et		(\d) kaheksandikku	$1/8				number
et		(\d) üheksandikku	$1/9				number
et		^näita äratuskell.?$	{ "action": "android.intent.action.SHOW_ALARMS", "flags": [4096] }				intent, alarm
		^(?:taimer|timer|taime|Daimler) (\d+)$	{ "action": "android.intent.action.SET_TIMER", "extras": {     "android.intent.extra.alarm.LENGTH": $1,     "android.intent.extra.alarm.MESSAGE": "Tiksub",     "android.intent.extra.alarm.SKIP_UI": false     } }				intent, alarm
et		^.*ärata mind(?: palun)?(?: kell)? (\d+) (?:0 )?(\d+)\s*(.*)$	{ "action": "android.intent.action.SET_ALARM", "extras": {     "android.intent.extra.alarm.HOUR": $1,     "android.intent.extra.alarm.MINUTES": $2,     "android.intent.extra.alarm.MESSAGE": "$3"     }, "categories": ["android.intent.category.VOICE"], "flags": [4096] }				intent, alarm
et		^.*ärata mind(?: palun)? kell (\d+)\s*(.*)$	{ "action": "android.intent.action.SET_ALARM", "extras": {     "android.intent.extra.alarm.HOUR": $1,     "android.intent.extra.alarm.MESSAGE": "$2"     }, "categories": ["android.intent.category.VOICE"], "flags": [4096] }				intent, alarm
en		^set(?: the)? alarm.* (\d+):?0?(\d+)\s*(.*)$	{ "action": "android.intent.action.SET_ALARM", "extras": {     "android.intent.extra.alarm.HOUR": $1,     "android.intent.extra.alarm.MINUTES": $2,     "android.intent.extra.alarm.MESSAGE": "$3"     } }				intent, alarm
et	:	^ava (.+)$	{ "action": "android.intent.action.VIEW", "data": "http://www.$1.ee" }				intent, http
et	:	algus (.+) lõpp (.+)	{ "action": "android.intent.action.VIEW", "data": "http://maps.google.com/maps?saddr=$1&daddr=$2" }
et	:	^otsi (.+)$	{ "action": "com.google.android.gms.actions.SEARCH_ACTION", "extras": {     "query": "$1"     } }				intent, component
et	:	^vali number (.+)$	{ "action": "android.intent.action.DIAL", "data": "tel:$1" }				intent, component
et	:	^mängi muusikat (.+)$	{ "action": "android.media.action.MEDIA_PLAY_FROM_SEARCH", "extras": {     "android.intent.extra.focus": "vnd.android.cursor.item/*",     "query": "$1"     }, "flags": [4096] }				intent, alarm
et		(\d+(\.\d+)?) korda (?=\d+(\.\d+)?)	$1 * 			Using lookahead. "korda" is ambiguous, but between numbers and in VimTouch it is written as "*".
		^Pealkiri (.+)	# $1
et	[^:]	muster (1|üks)	Tere,\n\n				template
et	[^:]	muster (2|kaks)	Nimi: []\n\nIsikukood: []\n\nAadress: []\n\n				template
et	[^:]	^vastuse vorm müügipakkumisele$	Lugupeetud []\n \n Täname Teid, et vastasite meie\n \n Lugupidamisega\n Heikki Papper\n müügijuht				template
		^([{].+)		activity	$1	Launch activity if the Utterance starts with "{".
